ITERATION,APPLE,MICROSOFT,GOOGLE,BERKLEY
0,0.08202481269836426,0.0803065299987793,0.07904338836669922,0.07965779304504395
1,0.08244085311889648,0.07897686958312988,0.07910299301147461,0.07944178581237793
2,0.07906031608581543,0.07796120643615723,0.07954192161560059,0.07977676391601562
3,0.08237123489379883,0.07844090461730957,0.07870745658874512,0.07816410064697266
4,0.08144330978393555,0.0784299373626709,0.07747793197631836,0.0783841609954834
5,0.08182764053344727,0.07798504829406738,0.07750415802001953,0.07788419723510742
6,0.08114194869995117,0.07743406295776367,0.07744550704956055,0.07813668251037598
7,0.08075547218322754,0.07741618156433105,0.07735610008239746,0.07809329032897949
8,0.07677769660949707,0.07786893844604492,0.07792925834655762,0.07801127433776855
9,0.07770991325378418,0.07732534408569336,0.07648038864135742,0.07680082321166992
10,0.07776951789855957,0.07752633094787598,0.0762779712677002,0.07660222053527832
11,0.07761859893798828,0.07651090621948242,0.07715272903442383,0.07628440856933594
12,0.08010697364807129,0.07677865028381348,0.07619023323059082,0.07624340057373047
13,0.07706665992736816,0.07695913314819336,0.07632780075073242,0.07634496688842773
14,0.07755398750305176,0.07628583908081055,0.0751490592956543,0.07599997520446777
15,0.07924771308898926,0.07622766494750977,0.07471346855163574,0.07502436637878418
16,0.07811260223388672,0.07516980171203613,0.07672119140625,0.07605290412902832
17,0.07798981666564941,0.0758066177368164,0.07472348213195801,0.07568931579589844
18,0.0786275863647461,0.07512688636779785,0.07417583465576172,0.07468557357788086
19,0.07506799697875977,0.07485485076904297,0.07531905174255371,0.07598757743835449
20,0.0750732421875,0.07497811317443848,0.03121495246887207,0.07487964630126953
21,0.1723463535308838,0.07535409927368164,0.07499217987060547,0.07465910911560059
22,0.07785272598266602,0.07456827163696289,0.07440972328186035,0.0733492374420166
23,0.07597160339355469,0.07416129112243652,0.07447528839111328,0.07329416275024414
24,0.0773019790649414,0.07322335243225098,0.07392096519470215,0.07514619827270508
25,0.07709336280822754,0.07416725158691406,0.0726015567779541,0.07375240325927734
26,0.07674789428710938,0.07352876663208008,0.07386636734008789,0.07394766807556152
27,0.07460641860961914,0.07263684272766113,0.07191038131713867,0.07258963584899902
28,0.07279729843139648,0.07367467880249023,0.07398462295532227,0.07221102714538574
29,0.07202577590942383,0.07293128967285156,0.07323527336120605,0.07320570945739746
30,0.07607126235961914,0.07293963432312012,0.07243585586547852,0.07188940048217773
31,0.0749976634979248,0.07156658172607422,0.07229280471801758,0.07198929786682129
32,0.07219982147216797,0.0712285041809082,0.07177305221557617,0.07256698608398438
33,0.07412934303283691,0.07108831405639648,0.07206583023071289,0.07249975204467773
34,0.07473230361938477,0.0712893009185791,0.0712285041809082,0.07182908058166504
35,0.0711977481842041,0.07219600677490234,0.07409191131591797,0.07257866859436035
36,0.08410859107971191,0.08437395095825195,0.0844731330871582,0.08363628387451172
37,0.09721112251281738,0.09425473213195801,0.09396886825561523,0.09714746475219727
38,0.09493589401245117,0.09464216232299805,0.0949103832244873,0.09570646286010742
39,0.09693765640258789,0.09503793716430664,0.09593367576599121,0.0954122543334961
40,0.09806990623474121,0.09505081176757812,0.09427475929260254,0.08954858779907227
41,0.09612226486206055,0.09563183784484863,0.09772682189941406,0.09809279441833496
42,0.09897041320800781,0.09508776664733887,0.09450721740722656,0.09459185600280762
43,0.09489560127258301,0.09457039833068848,0.0948946475982666,0.09417247772216797
44,0.09730315208435059,0.09318876266479492,0.09466075897216797,0.09399247169494629
45,0.09786820411682129,0.09427523612976074,0.09365510940551758,0.09400200843811035
46,0.0968773365020752,0.09373140335083008,0.0933523178100586,0.09520697593688965
47,0.09736824035644531,0.09411144256591797,0.09428000450134277,0.09437680244445801
48,0.09433531761169434,0.09285879135131836,0.0938863754272461,0.09406423568725586
49,0.09521031379699707,0.09398841857910156,0.09407663345336914,0.09713125228881836
50,0.09388566017150879,0.09235572814941406,0.09209322929382324,0.09242916107177734
51,0.09557652473449707,0.09215140342712402,0.09295368194580078,0.09189629554748535
52,0.09258842468261719,0.09326410293579102,0.09378767013549805,0.09287786483764648
53,0.09470438957214355,0.09240603446960449,0.09183549880981445,0.09042620658874512
54,0.09522175788879395,0.09171390533447266,0.09251952171325684,0.09116530418395996
55,0.2787177562713623,0.09188556671142578,0.0921773910522461,0.29793286323547363
56,0.18241214752197266,0.0905904769897461,0.09247899055480957,0.09186172485351562
57,0.09211969375610352,0.09112286567687988,-0.00807046890258789,0.10420870780944824
58,0.09423136711120605,0.09117531776428223,0.09106016159057617,-0.0977625846862793
59,0.09256482124328613,0.09058165550231934,0.09091424942016602,0.0913691520690918
60,0.09293031692504883,0.09049248695373535,0.08965802192687988,0.09012007713317871
61,0.09024882316589355,0.09162330627441406,0.0894935131072998,0.08909726142883301
62,0.09310317039489746,0.09086322784423828,0.08934736251831055,0.09006214141845703
63,0.0921018123626709,0.08968639373779297,0.08892369270324707,0.09047412872314453
64,0.09230327606201172,0.08863615989685059,0.08815240859985352,0.08907532691955566
65,0.08864450454711914,0.08909797668457031,0.08792471885681152,0.0891411304473877
66,0.09186959266662598,0.08834958076477051,0.08861541748046875,-0.10434579849243164
67,0.12770748138427734,0.05100893974304199,0.09040498733520508,0.08807945251464844
68,0.09104728698730469,0.0876166820526123,0.08884596824645996,0.08806514739990234
69,0.08838701248168945,0.08979511260986328,0.08785581588745117,0.0873270034790039
70,0.08976101875305176,0.0883631706237793,0.08716797828674316,0.08717679977416992
71,0.0889129638671875,0.08665585517883301,0.08535051345825195,0.08742928504943848
72,0.3015742301940918,0.0872640609741211,0.08769416809082031,0.08738565444946289
73,0.08992958068847656,0.08710718154907227,0.08763980865478516,0.08732366561889648
74,0.08838844299316406,0.08974671363830566,0.0883486270904541,0.08660531044006348
75,0.09031224250793457,0.08622598648071289,0.08683061599731445,0.08704829216003418
76,0.08869814872741699,0.08741450309753418,0.08598995208740234,0.08601021766662598
77,0.0881192684173584,0.08542990684509277,0.0864710807800293,0.08699774742126465
78,0.08899998664855957,0.08484673500061035,0.08482599258422852,0.08550071716308594
79,0.08880782127380371,0.0848226547241211,0.08646869659423828,0.08616423606872559
80,0.08613228797912598,0.08780980110168457,0.08596563339233398,0.08551168441772461
81,0.08767390251159668,0.08530688285827637,0.08642864227294922,0.08506512641906738
82,0.08441519737243652,0.08537054061889648,0.08454656600952148,0.08420991897583008
83,0.0852353572845459,0.08512711524963379,0.08891105651855469,0.08638262748718262
84,0.08741617202758789,0.08469581604003906,0.08544659614562988,0.08432531356811523
85,0.08378386497497559,0.08706283569335938,0.08426451683044434,0.08468294143676758
86,0.08623313903808594,0.08371353149414062,0.0828244686126709,0.08337640762329102
87,0.07727575302124023,0.07439494132995605,0.07435965538024902,0.07577657699584961
88,0.07522201538085938,0.07297730445861816,0.07291126251220703,0.07196593284606934
89,0.07192325592041016,0.07188224792480469,0.07207870483398438,0.07175469398498535
90,0.07216453552246094,0.07224631309509277,0.07201242446899414,0.07159161567687988
91,0.07397675514221191,0.0714271068572998,0.07066226005554199,0.07046771049499512
92,0.07020020484924316,0.0693519115447998,0.0699152946472168,0.06933069229125977
93,0.07075619697570801,-0.03560519218444824,0.06539130210876465,0.06967711448669434
94,0.07025432586669922,0.06993246078491211,0.06911730766296387,0.0685572624206543
95,0.07050204277038574,0.06908655166625977,0.06769084930419922,0.06874513626098633
96,0.06783199310302734,0.06708884239196777,0.06840085983276367,0.0671541690826416
97,0.07172369956970215,0.06668424606323242,0.06760239601135254,0.06780648231506348
98,0.07096982002258301,0.06668281555175781,0.06741762161254883,0.06700515747070312
99,0.06770181655883789,0.06573343276977539,0.06807112693786621,0.06710267066955566
100,0.06683492660522461,0.06505417823791504,0.0662226676940918,0.06634283065795898
101,0.06895327568054199,0.06422901153564453,0.06568098068237305,0.06528592109680176
102,0.06873321533203125,0.0646367073059082,0.0654764175415039,0.06519246101379395
103,0.06719803810119629,0.06436443328857422,0.0647573471069336,0.06372618675231934
104,0.06495237350463867,0.0643165111541748,0.06346631050109863,0.0633687973022461
105,0.06221461296081543,0.062421321868896484,0.06356310844421387,0.06276440620422363
106,0.0630033016204834,0.06330490112304688,0.06282758712768555,0.06379246711730957
107,0.061923980712890625,0.06144285202026367,0.0627279281616211,0.0615079402923584
108,0.06469273567199707,0.05994749069213867,0.06057167053222656,0.06226229667663574
109,0.06363964080810547,0.0614161491394043,0.060567617416381836,0.059644222259521484
110,0.06500577926635742,0.060156822204589844,0.059934377670288086,0.06036090850830078
111,0.05976295471191406,0.06038308143615723,0.05913805961608887,0.059473276138305664
112,0.06321120262145996,0.05798530578613281,0.05874824523925781,0.05939340591430664
113,0.05976295471191406,0.05844378471374512,0.038869619369506836,0.05863070487976074
114,0.05792689323425293,0.0559844970703125,0.05774068832397461,0.05862259864807129
115,0.057567596435546875,0.05925893783569336,0.056885719299316406,0.05663466453552246
